cve_id,vendor_project,product,threat_name,date_added,short_description,required_action,due_date,pub_date,cvss,cwe,Type,complexity,severity,results
CVE-2021-27104,accellion,FTA,Accellion FTA OS Command Injection Vulnerability,03-11-21,Accellion FTA 9_12_370 and earlier is affected by OS command execution via a crafted POST request to various admin endpoints.,Apply updates per vendor instructions.,17-11-21,16-02-21,9.8,CWE-78,NETWORK,LOW,CRITICAL,1
CVE-2021-27102,accellion,FTA,Accellion FTA OS Command Injection Vulnerability,03-11-21,Accellion FTA 9_12_411 and earlier is affected by OS command execution via a local web service call.,Apply updates per vendor instructions.,17-11-21,16-02-21,7.8,CWE-78,LOCAL,LOW,HIGH,0
CVE-2021-27101,accellion,FTA,Accellion FTA SQL Injection Vulnerability,03-11-21,Accellion FTA 9_12_370 and earlier is affected by SQL injection via a crafted Host header in a request to document_root.html.,Apply updates per vendor instructions.,17-11-21,16-02-21,9.8,CWE-89,NETWORK,LOW,CRITICAL,1
CVE-2021-27103,accellion,FTA,Accellion FTA SSRF Vulnerability,03-11-21,Accellion FTA 9_12_411 and earlier is affected by SSRF via a crafted POST request to wmProgressstat.html.,Apply updates per vendor instructions.,17-11-21,16-02-21,9.8,CWE-918,NETWORK,LOW,CRITICAL,1
CVE-2021-21017,adobe,Acrobat and Reader,Adobe Acrobat and Reader Heap-based Buffer Overflow Vulnerability,03-11-21,"Acrobat Reader DC versions versions 2020.013.20074 (and earlier), 2020.001.30018 (and earlier) and 2017.011.30188 (and earlier) are affected by a heap-based buffer overflow vulnerability. An unauthenticated attacker could leverage this vulnerability to achieve arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.",Apply updates per vendor instructions.,17-11-21,11-02-21,8.8,CWE-787,NETWORK,LOW,HIGH,0
CVE-2021-28550,adobe,Acrobat and Reader,Adobe Acrobat and Reader Use-After-Free Vulnerability,03-11-21,"Acrobat Reader DC versions versions 2021.001.20150 (and earlier), 2020.001.30020 (and earlier) and 2017.011.30194 (and earlier) are affected by a Use After Free vulnerability. An unauthenticated attacker could leverage this vulnerability to achieve arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.",Apply updates per vendor instructions.,17-11-21,02-09-21,8.8,CWE-416,NETWORK,LOW,HIGH,0
CVE-2018-4939,adobe,ColdFusion,Adobe ColdFusion Deserialization of Untrusted Data vulnerability,03-11-21,"Adobe ColdFusion Update 5 and earlier versions, ColdFusion 11 Update 13 and earlier versions have an exploitable Deserialization of Untrusted Data vulnerability. Successful exploitation could lead to arbitrary code execution.",Apply updates per vendor instructions.,03-05-22,19-05-18,9.8,CWE-502,NETWORK,LOW,CRITICAL,1
CVE-2018-15961,adobe,ColdFusion,Adobe ColdFusion Remote Code Execution,03-11-21,"Adobe ColdFusion versions July 12 release (2018.0.0.310739), Update 6 and earlier, and Update 14 and earlier have an unrestricted file upload vulnerability. Successful exploitation could lead to arbitrary code execution.",Apply updates per vendor instructions.,03-05-22,25-09-18,9.8,CWE-434,NETWORK,LOW,CRITICAL,1
CVE-2018-4878,adobe,Flash Player,Adobe Flash Player Use-After-Free Vulnerability,03-11-21,A use-after-free vulnerability was discovered in Adobe Flash Player before 28.0.0.161. This vulnerability occurs due to a dangling pointer in the Primetime SDK related to media player handling of listener objects. A successful attack can lead to arbitrary code execution. This was exploited in the wild in January and February 2018.,The impacted product is end-of-life and should be disconnected if still in use.,03-05-22,06-02-18,9.8,CWE-416,NETWORK,LOW,CRITICAL,1
CVE-2020-5735,amcrest,Cameras and Network Video Recorder (NVR),Amcrest Camera and NVR Buffer Overflow Vulnerability,03-11-21,Amcrest cameras and NVR are vulnerable to a stack-based buffer overflow over port 37777. An authenticated remote attacker can abuse this issue to crash the device and possibly execute arbitrary code.,Apply updates per vendor instructions.,03-05-22,08-04-20,8.8,CWE-787,NETWORK,LOW,HIGH,0
CVE-2017-9805,apache,Struts,Apache Struts Multiple Versions Remote Code Execution Vulnerability,03-11-21,The REST Plugin in Apache Struts 2.1.1 through 2.3.x before 2.3.34 and 2.5.x before 2.5.13 contains a vulnerability which can lead to Remote Code Execution.,Apply updates per vendor instructions.,03-05-22,15-09-17,8.1,CWE-502,NETWORK,HIGH,HIGH,0
CVE-2021-42013,apache,HTTP Server,Apache HTTP Server 2.4.49 and 2.4.50 Path Traversal,03-11-21,Apache HTTP server vulnerabilities allow an attacker to use a path traversal attack to map URLs to files outside the expected document root and perform Remote Code Execution.,Apply updates per vendor instructions.,17-11-21,07-10-21,9.8,CWE-22,NETWORK,LOW,CRITICAL,1
CVE-2021-41773,apache,HTTP Server,Apache HTTP Server Path Traversal Vulnerability,03-11-21,"A flaw was found in a change made to path normalization in Apache HTTP Server 2.4.49. An attacker could use a path traversal attack to map URLs to files outside the directories configured by Alias-like directives. If files outside of these directories are not protected by the usual default configuration ""require all denied"", these requests can succeed. If CGI scripts are also enabled for these aliased pathes, this could allow for remote code execution. This issue is known to be exploited in the wild. This issue only affects Apache 2.4.49 and not earlier versions. The fix in Apache HTTP Server 2.4.50 was found to be incomplete, see CVE-2021-42013.",Apply updates per vendor instructions.,17-11-21,05-10-21,7.5,CWE-22,NETWORK,LOW,HIGH,0
CVE-2019-0211,apache,HTTP Server,Apache HTTP Server scoreboard vulnerability,03-11-21,"In Apache HTTP Server 2.4 releases 2.4.17 to 2.4.38, with MPM event, worker or prefork, code executing in less-privileged child processes or threads (including scripts executed by an in-process scripting interpreter) could execute arbitrary code with the privileges of the parent process (usually root) by manipulating the scoreboard. Non-Unix systems are not affected.",Apply updates per vendor instructions.,03-05-22,08-04-19,7.8,CWE-416,LOCAL,LOW,HIGH,0
CVE-2016-4437,apache,Shiro,Apache Shiro 1.2.4 Cookie RememberME Deserial Remote Code Execution Vulnerability,03-11-21,"Apache Shiro before 1.2.5, when a cipher key has not been configured for the ""remember me"" feature, allows remote attackers to execute arbitrary code or bypass intended access restrictions via an unspecified request parameter.",Apply updates per vendor instructions.,03-05-22,07-06-16,8.1,CWE-284,NETWORK,HIGH,HIGH,0
